username,totalStarsReceived
CAM1113,2
otenim,498
BruceJust,51
zcemycl,418
elliotbeck,19
tomron27,8
chriszhangwj,4
BenjaminAm,0
EnrcDamn,19
wadmes,206
stuartnankai,7
Kongsea,154
zhenshen-mla,147
tensorinfinitysip,0
taoyang1122,630
AIFanatic,108
johnny-walker,6
yakunpku,0
masonmsh,14
limberc,364
RizhaoCai,643
young31,16
yjh0410,1807
InvictusY,1
xvdp,20
gazeai,0
mcgoughlin,10
rileyblack,4
packyan,221
qinhaihong-red,12
Thorimus,0
Ninebell,104
yaoceyi,4
elonashatri,7
NIRVANALAN,259
StonecutterX,0
Keiku,158
kobykotiv,21
DoganK01,237
KonroyZhu,15
zonghaofan,180
randalong,2
tristandb,74
lmiz100,12
bamasa,47
Learner0x5a,103
vujadeyoon,96
lixiangbao,0
z-bingo,1085
nriteshranjan,15
yourFriendlyNeighbour,0
Bovbene,5
security-softwares,0
Mjkim88,103
m12sl,319
Optimus1072,14
Pragjnesh,0
MaxandYuki,3
AhmetFurkanDEMIR,1606
qiuchili,176
stevewongv,602
tqxli,285
winston-lin-wei-cheng,41
leichtrhino,19
BenMueller1,3
kose,3
SSusantAchary,45
guolinbuaa,1
wangzhengy,5
georgeyiasemis,100
hwangtamu,22
tiruota,2
goodhamgupta,178
fanq15,1312
amirmallak,1
leognha,4
VHCC,17
mswzeus,0
pahung1999,2
NehaJSarnaik,2
sfc-computational-creativity-lab,0
IFADA,0
Samuel-Bachorik,17
Advaiit,1
mousecpn,271
cocoakang,36
nuaazs,445
wangqs97,0
jvlk,1
ahstarwab,16
ajinkya98,31
takeru1205,14
yhung119,0
OctopusLi,40
t107598066,0
summary-GodBlessYou,2
MagaliDrumare,79
rohithkumar282,2
Gerryflap,31
Premkumar7090,8
Keillion,169
Doragd,4119
TTdeveloping,21
2KangHo,68
Linardos,140
yoonhero,104
JackHCC,1389
gpauloski,175
YangXuanyue,66
Windxy,63
15101538237ren,6
cccshuang,38
RenaLu,0
jweig0ld,2
ymitiku,50
devonsuper,0
deoelvenmage,3
NanWuIT,0
StephenStorm,4
MatthewCaseres,149
Derpimort,32
st186,61
yangyang-nus-lv,0
AMITKESARI2000,19
Eedvard,0
zhoujx4,667
aqc112420,4
VegetablesMaster,6
Codelegant92,51
wenzhilong,0
LiuLinyun,39
qq249356520,0
2000ZRL,204
Maggiking,0
NoOneUST,262
June01,55
mohdumar644,47
lnhutnam,55
ShaoQiBNU,673
hphp777,4
maggeek,3
yusonghust,133
wutianyiRosun,10573
opatrickchen,0
edwardning,69
tabVersion,40
Schwolop,11
bartonlin,151
smitheric95,24
jas-nat,32
good5dog5,5
sreenithy,54
jingjin25,103
GeniusAng,22
mrkieumy,37
hurxx018,19
brainsoft-ai,0
maheshambule,2
AtalsKim,0
Sandbox3aster,248
EderSantana,1469
taniyarajani,6
tstandley,369
ArgoHA,19
simotumoz,1
BoriaK,1
suolyer,236
bioinf-mcb,0
Sunda233,0
alxfed,3
FLyingLSJ,223
KoryBurns,4
MaskedIsland,0
tfmoraes,682
satya77,227
des5ve,0
cwangjiang,2
omrahul,0
brian-you98,0
mxl1990,293
Riadh-B,1
as595,92
shimon-c,0
pengyuchen,30
jeongabae,3
rczhen,10
AiMizuno,1
mengzhu0308,28
WHDY,236
lukazaplotnik,4
201419,136
samggggflynn,194
djycn,19
laredein,3
swatisingh45,4
vdivakar,86
wizard1203,123
neetmehta,11
satolab12,34
Julia-Run,0
dsp6414,43
mohak1,99
cjearce,0
SpeedOfSpin,0
ChenKaiXuSan,26
shruti2126,7
eric-le-12,8
