username,stars
SeoLabASU,0.0
yshiyi,1.0
GlassyWing,30.0
elliottzheng,30.0
Grzetan,5.0
Andr1u5,0.0
JindongJiang,30.0
jtlai0921,2.0
kxgong,30.0
HarryVolek,30.0
aqc112420,30.0
Xiaoqiqiyaya,1.0
Desein-Yang,30.0
ZhichaoOuyang,30.0
mabirck,30.0
WHDY,8.0
DocF,30.0
Time1ess,6.0
wuxiaolianggit,30.0
eric-le-12,5.0
nuaazs,30.0
jkr26,11.0
psu-epl,0.0
CS4445-JasonDykstra,0.0
TerYang,9.0
Billijk,30.0
chriszhangwj,30.0
finnickniu,30.0
karoly-hars,18.0
adipandas,30.0
tabVersion,30.0
jang1suh,14.0
tfmoraes,30.0
rushiv0609,1.0
leimao,30.0
mf1024,30.0
lukemelas,21.0
jas-nat,26.0
PeterKillerio,
Michael5467,0.0
SDU-MagicMirror,0.0
sofiacatalan,7.0
pdefusco,21.0
trieutranq,8.0
qiuchili,0.0
crafter-z,18.0
rplzzz,30.0
mtiezzi,10.0
ayooshkathuria,24.0
hyeonjames,30.0
emojilearning,30.0
ZiJianZhao,30.0
HiroForYou,30.0
suyashjoshi,0.0
GilbertoCunha,30.0
cocoakang,30.0
yashbelhe,30.0
mnmjh1215,30.0
SaliencyDetection,0.0
R-Fehler,30.0
V-ea,30.0
bnicholl,1.0
Kiwoo,18.0
wcl20,2.0
SijmNoteboom,0.0
anuj27596,0.0
kurudj,2.0
langmanbusi,30.0
Logan-Lin,12.0
HoldemGK,30.0
Interesting6,23.0
goodhamgupta,30.0
biyoml,30.0
taniyarajani,2.0
Sunda233,30.0
ConorLazarou,
pharrellyhy,30.0
jaroslaw1007,30.0
jiangszzzzz,28.0
AndyPhoenix9879,
galidor,22.0
bigdatasciencegroup,0.0
MNaplesDevelopment,4.0
railiavaliullina,0.0
dhruvvpatel,3.0
Harryi0,12.0
PoonKinWang,21.0
dalinvip,30.0
Sarthak-22,30.0
ajinkya98,2.0
BUAAChuanWang,30.0
gagansingh894,30.0
mk-michal,11.0
liucongg,30.0
fatemehadadi,1.0
alexzhang19,3.0
LiuXinyu12378,30.0
andyguo666,18.0
chengkangck,30.0
EgOrlukha,1.0
Momilijaz96,30.0
LvXueshuai,1.0
ZdecydowanieNieGrzelczak,30.0
pangkun248,6.0
Xylambda,30.0
elzino,30.0
Pablo-163,6.0
sjwright90,12.0
thegyro,1.0
nghiahhnguyen,30.0
BenjaminAm,8.0
gicsaw,5.0
shinoyuki222,30.0
iliathesmirnov,6.0
haochen23,30.0
ritwikbera,24.0
asdf93074,12.0
aqbewtra,4.0
millermuttu,30.0
polasha,1.0
RimDan,12.0
as791,30.0
jiesutd,30.0
Bigpig4396,30.0
zheyejs,30.0
PouringRain,30.0
jsesr,15.0
wzwtime,6.0
amritasaha1812,1.0
BigChungusDaddy,0.0
mohdumar644,11.0
kawori,15.0
Cai-Yichao,30.0
nin-yu,30.0
pyxploiter,30.0
Lc-1024,23.0
Naagar,30.0
seanywang0408,30.0
zhangyi-3,25.0
G-U-N,30.0
holmdk,30.0
SaiPrajwal95,30.0
tqlong,2.0
yakunpku,30.0
AlanJacob97,0.0
karascr,30.0
rayan-yu,30.0
ehsanik,16.0
myay,30.0
zhoudaxia233,30.0
bekir23,8.0
mohak1,4.0
George0828Zhang,30.0
yuxwhkbu,
PhilippKitz,3.0
gongyongkang,0.0
huangtao36,30.0
Amitahu,2.0
Bil369,30.0
shellkore,30.0
MacJim,30.0
HsiaX,30.0
daomengkiller,3.0
bugsuse,30.0
zsypotter,4.0
rythei,3.0
WBGZDTSL,30.0
iffsid,30.0
laredein,0.0
zimengq,30.0
hughian,30.0
bhushan23,30.0
yuezuegu,14.0
NanWuIT,30.0
Schwolop,22.0
YOUSIKI,30.0
jameschengpeng,10.0
Eedvard,0.0
tnakae,30.0
ksadowski13,30.0
jweir136,13.0
tien02,30.0
jcheunglin,26.0
SpikeKing,30.0
Elain-q,0.0
CuriousCat-7,30.0
snowflakewang,30.0
Silent-voice,21.0
ElHouas,8.0
mario-rot,
YangXuanyue,30.0
yuxwind,30.0
RyanRizzo96,30.0
LeoWood,30.0
JammyL,1.0
FarukFS,0.0
omrahul,1.0
yueqiw,30.0
huyvnphan,30.0
14472506,0.0
muhmaz3,1.0
M-Daniyal-123,14.0
chenz97,30.0
hibagus,0.0
victorist,30.0
zhaort,6.0
YWHyuk,30.0
keep-steady,4.0
SwayambhuNathRay,21.0
chLFF,19.0
benlin131020,30.0
siyaroner,19.0
ggxxding,27.0
jralha,6.0
junqingchang,30.0
calebl37,1.0
hei4,6.0
MINGG2333,30.0
Kumarabhi666,0.0
ChiragJindal21,0.0
jrobertojunior,30.0
BoriaK,0.0
zukangy,2.0
HideOnHouse,3.0
Afan227,10.0
pb2377,0.0
lt-asset,0.0
iamrishab,30.0
mengzhangjian,30.0
vence-andersen,30.0
MouxiaoHuang,30.0
rohithkumar282,0.0
km-uchino,0.0
nicoyang-21,9.0
ashishjv1,9.0
HuguesTHOMAS,5.0
salmanmaq,30.0
hghimanshu,11.0
takmin,13.0
nazarblch,0.0
huiqu18,30.0
dayekuaipao,30.0
RonKbS,13.0
ouening,30.0
pranjal2410,30.0
Joseph-Winkle,10.0
jerryyyyy708,4.0
lpj0,30.0
Movahe,30.0
LiYangSir,10.0
TheInfamousWayne,0.0
TalentBoy2333,30.0
hwangtamu,30.0
Riadh-B,0.0
Subhasom,0.0
White1973,30.0
ixn872,23.0
AhmetFurkanDEMIR,30.0
pengfe2017,0.0
supernotman,16.0
AmartyaCSB,20.0
shaynaor,9.0
mruberry,2.0
TheArheus,2.0
MKowal2,19.0
GeoZcx,30.0
wormhole2019,10.0
SapanaChaudhary,13.0
MIV-Group,0.0
And1210,1.0
songrise,30.0
hdvvip,30.0
Ruitao-chen,21.0
JimLee1996,30.0
Conzel,30.0
wolverine28,6.0
eugenelet,30.0
poppyleo,30.0
georgeyiasemis,21.0
swatisingh45,30.0
shaoeric,30.0
HopLee6,15.0
mlexample,0.0
ANLGBOY,30.0
oskin1,30.0
deepnetni,23.0
mickymicmouse,9.0
Sunbaoli,5.0
martinobdl,13.0
nieosf,0.0
undefinedXD,17.0
s-chh,10.0
young31,30.0
elliotbeck,0.0
IanSullivan,30.0
semin-park,24.0
wk910930,30.0
HYU-GradProj,0.0
ap229997,30.0
yearing1017,30.0
minar09,30.0
bhuminiecki,0.0
glennglennglenn,0.0
DashankaNadeeshanDeSilva,4.0
MIVRC,0.0
WeidongLi-KG,30.0
zheng-yuwei,30.0
masonmsh,0.0
YZJ6GitHub,15.0
rm-rf-me,30.0
zhangzihaokev,4.0
kooyunmo,30.0
oscardpedrayes,12.0
mousecpn,30.0
aasharma90,30.0
LewisHS,0.0
rohitvk1,
Andrey885,1.0
cxiang26,30.0
miraclewkf,30.0
AnjieCheng,30.0
long95288,30.0
liteworldz,0.0
Knight3-code,0.0
VegetablesMaster,27.0
mansikataria,9.0
KarhouTam,30.0
Ren-Yaqian,0.0
Animesh-Chourey,0.0
maheshambule,30.0
xouan,19.0
Machine-Learning-And-AI-Projects,0.0
as595,0.0
Chronocook,4.0
NehaJSarnaik,1.0
preduct0r,0.0
bottlecapper,0.0
yawen-d,30.0
yeyanan93,30.0
ArgoHA,19.0
xiaokai11,1.0
jonnedtc,9.0
hs366399,1.0
callmewenhao,30.0
Ninebell,27.0
AyadAlmamary,30.0
BillSam,30.0
siddhanthaldar,30.0
TreezzZ,30.0
jettify,30.0
vidyadhariGithub,0.0
autohe,4.0
zmurez,6.0
diggerdu,30.0
muratonuryildirim,0.0
inkplatform,0.0
pr1266,14.0
mingshaofeng,30.0
ZhZhang711,7.0
LiliMeng,0.0
immortal-shuan,11.0
keapoa,0.0
richardvecsey,16.0
jama1017,30.0
Wengnianbiao,7.0
allanj,30.0
wangxianrui,30.0
NickyLam,6.0
loui0620,2.0
jhlee17139,0.0
2000ZRL,30.0
aeadod,30.0
chengsen,30.0
QCOIN-LAB,0.0
meiirbek-islamov,3.0
KIMI-debug-maker,1.0
qianyuqianxun-DeepLearning,30.0
Gerryflap,18.0
tscianmarello,0.0
chnsh,30.0
kaixu-zen,
zinsmatt,15.0
yingqing0317,30.0
eran505,0.0
splionar,30.0
ruihangdu,30.0
bamasa,30.0
DerekGloudemans,30.0
J094,30.0
Geonhee-LEE,30.0
furkancoskun,30.0
qiaosiyi,30.0
Marvin-desmond,7.0
lingchuL,30.0
juni-lee,0.0
chriselrod,30.0
AdityaKarn,6.0
rimusa,8.0
Wangt-CN,30.0
Natsagdorj-Choijilsuren,1.0
Normalist-K,26.0
mrGreat1110,1.0
huiw39,0.0
huohuayuzhong,30.0
QAQgc,21.0
Sandbox3aster,30.0
Hung-Ta-Chen,0.0
quking,22.0
KellerJordan,30.0
ahnan4arch,30.0
Spijkervet,30.0
xiaohao-lin1,11.0
vedantbonde,2.0
Derpimort,14.0
rileyblack,0.0
jefflai108,30.0
rohan1561,0.0
Tathagatd96,0.0
manhlamabc123,14.0
z-bingo,30.0
vyraun,30.0
paulosestini,14.0
satya77,14.0
changyu98,30.0
echurch,0.0
CODEJIN,13.0
zoe0919,30.0
soeque1,30.0
mingminzhen,15.0
tuananh1007,30.0
grimoire,30.0
589hero,24.0
codinglover-Noman,0.0
Dawnstar8411,7.0
henrypowell87,3.0
ian-jihoonpark,20.0
HAOLI-TUKL,30.0
SindiLab,0.0
mangyun,0.0
myungsanglee,4.0
Blue-Giant,14.0
qilei123,2.0
pranavajitnair,30.0
fan-linhao,3.0
emptysoal,20.0
prismspecs,29.0
KNChiu,16.0
AJingshou,30.0
SWHL,1.0
lienguang0624,26.0
sebaF96,30.0
wtergan,2.0
mikekutzma,30.0
tqxli,30.0
ImKeTT,30.0
thydeyx,0.0
ji-in,30.0
AtalsKim,30.0
yl-1993,30.0
lyl7650,30.0
mingman514,3.0
saehan-choi,6.0
odegeasslbc,30.0
sabirdvd,30.0
sfc-computational-creativity-lab,0.0
DARK-art108,30.0
guo-pu,30.0
chaozhong2010,30.0
Huanghongru,30.0
vidursatija,30.0
bin-go2011,30.0
prateekm08,19.0
xinshuoweng,30.0
vltmedia,30.0
aishangcengloua,20.0
machine-perception-robotics-group,0.0
iodriller,8.0
meder411,20.0
Kodamayuto2001,30.0
shufanwu,30.0
vakkov,30.0
AICommons,0.0
andrewsunst,0.0
RizhaoCai,30.0
thuyngch,30.0
danielkelshaw,30.0
pratikchhapolika,30.0
Linardos,2.0
yhung119,30.0
fedetask,20.0
lucasroitman,
Manoj-Kannan,0.0
tomron27,2.0
mcculloh213,30.0
chinnadhurai,16.0
daveboat,1.0
1079863482,30.0
abhijeetg12,30.0
EthanRosenthal,29.0
DGenady,0.0
mimbres,30.0
cwangjiang,0.0
Jason0917,4.0
bob831009,1.0
9bow,30.0
billtubbs,30.0
jiajunhua,0.0
qarchli,0.0
RajanNV,0.0
ahstarwab,6.0
anujdutt9,30.0
Spiffical,30.0
DrTang2000,11.0
AtmegaBuzz,30.0
wendywlh,1.0
naiveHobo,30.0
y3sar,30.0
jiayongzhang,30.0
GeneralLi95,30.0
chengjie11,14.0
ShawnFrost23,1.0
Enoch-Zhang,5.0
aru31,30.0
VishalBalaji321,13.0
Sebastian514,30.0
weibifan,19.0
vvagias,30.0
Flo11,0.0
MauiDesign,0.0
matthewfeickert,30.0
HuangLongji,4.0
Lkruitwagen,30.0
gathierry,12.0
ChenZhouUC,12.0
MlWoo,30.0
stevewongv,30.0
jvlk,0.0
pcmin03,5.0
InformationRetrieval-Hongik,0.0
joeljosephjin,30.0
Thepnathi,30.0
marsolo93,0.0
3rd-Musketeer,23.0
gilisho,30.0
csjiangwm,30.0
hankniu01,30.0
15101538237ren,30.0
dongwhfdyer,30.0
leeesangwon,30.0
rohitgajawada,30.0
jiantenggei,29.0
1219521375,30.0
zhanghang1989,30.0
Maggiking,
nmnsharma007,3.0
mesmerx,5.0
yasin624,30.0
iArunava,30.0
oshima-yoppi,15.0
MoMe36,30.0
JasperGA,0.0
LY-Road,7.0
qinhaihong-red,0.0
StonecutterX,30.0
yzfly,30.0
hayashimasa,20.0
mehdi-mirzapour,30.0
sunlanchang,30.0
randalong,2.0
Hauf3n,26.0
yuniktmr,9.0
grassknoted,30.0
dribnet,30.0
YangfeiLiu,30.0
Bugdragon,30.0
nmd-2000,
bollakarthikeya,6.0
wangqs97,30.0
ghnreigns,30.0
linksense,0.0
chagmgang,30.0
Wayho,30.0
Yukiyousa,30.0
kenkimatsumoto,0.0
JunsukLee,11.0
stabgan,30.0
tanreinama,2.0
rschwarz15,5.0
schelotto,30.0
sung0471,1.0
Dot8Pixels,0.0
YeonwooSung,30.0
CharlesNord,30.0
pei-hsin-chiu,13.0
curaai,30.0
MohsenFayyaz89,30.0
fzp0412,1.0
sechetbot,0.0
danielliucs,1.0
abzb1,15.0
abdulghaffaransari,0.0
machiredd,0.0
KoryBurns,0.0
pbehjatii,4.0
binhnd102,5.0
boluochuile,30.0
NoOneUST,30.0
ishine,30.0
doduythao,30.0
skrish13,30.0
yoonsanghyu,2.0
takeru1205,30.0
dourgey,30.0
dongzhuoyao,30.0
SeanLee97,30.0
dollarkillerx,30.0
Unicorn-acc,25.0
yukkyo,30.0
andreabassi78,14.0
atranitell,30.0
mswzeus,0.0
YuBeomGon,0.0
tstandley,10.0
phoenix-meadowlark,2.0
lixiangbao,5.0
DableUTeeF,30.0
alex-lechner,30.0
SaralaSewwandi,0.0
LiaoWC,30.0
sg-nm,5.0
evgen32cd32,4.0
kokurisann,2.0
AdityaVashista30,17.0
arnoweng,30.0
Avi197,30.0
Chen-Junbao,8.0
ParsonsZeng,30.0
Di-Weng,8.0
Hoshi-masahito,0.0
RolandGao,30.0
nakashima-kodai,23.0
sdecoder,0.0
mmkekic,0.0
yeeeqichen,30.0
erickingxu,12.0
jianzhangcs,30.0
HopefulRational,3.0
martinetoering,30.0
sgrvinod,3.0
nradair,0.0
gary109,30.0
xiaohuihuichao,30.0
Karthik-Ragunath,13.0
satolab12,30.0
TodoListIOS,0.0
milleniums,19.0
frechele,30.0
lhsheild,30.0
lz1159435992,21.0
ShaoQiBNU,30.0
UditSinghParihar,30.0
mlpotter,8.0
waitwaitforget,30.0
yerimoh,4.0
DXNNX,0.0
bioinf-mcb,0.0
cross32768,30.0
Rubiksman78,30.0
mmk-ai,
1587257781,10.0
carlosdcastillo,15.0
Riretta,6.0
Sbaig3229,3.0
1058011747,2.0
Chaiyanchong,30.0
brainsoft-ai,0.0
kumarvis,1.0
masora1030,4.0
yutayamazaki,30.0
Lorenzoncina,30.0
sheepover96,30.0
sreenithy,30.0
captain-pool,30.0
VedantGhodke,30.0
zhenming33,30.0
KarimElshetihy,8.0
Eureka-JTX,
mrtunguyen,30.0
DaehanKim,30.0
VHCC,30.0
ilex-paraguariensis,4.0
RorschachChen,30.0
shumaym,0.0
OniroAI,0.0
Zoesxw,30.0
naveen-hyperworks,0.0
anexplore,30.0
rensutheart,3.0
wangzhengy,14.0
voidbag,17.0
zhiyou720,6.0
vdivakar,30.0
Yaoyuanzhou,30.0
grantsrb,1.0
LYoung-Hub,1.0
caganselim,23.0
sumanth0892,1.0
weizhou-geek,22.0
LJKS,0.0
hagerrady13,15.0
yy1401,6.0
SeHwanYoo,9.0
myxuci,0.0
AiueoABC,30.0
dlgyy,5.0
sowd,19.0
ooooooooe,20.0
Knight-Antonio,0.0
julian-8897,30.0
BenMueller1,7.0
Learner0x5a,30.0
ramsRahim,14.0
aksenventwo,30.0
lgalke,30.0
mrcgliu,
Chaanks,30.0
mmedlin1997,1.0
deephub-ai,0.0
AleX77NP,30.0
Shawn-Guo-CN,30.0
gclausen0272,1.0
jain-avi,1.0
aflah02,30.0
HsLOL,30.0
txrc,30.0
KonroyZhu,10.0
lihao2333,30.0
ChungYi347,5.0
freezinghands,7.0
crane719,0.0
Chung-I,30.0
Samuel-Bachorik,1.0
JackHCC,30.0
js05212,27.0
cccshuang,5.0
comeeasy,30.0
shambhavimalik,23.0
goldhuang,9.0
n0obcoder,10.0
jaehyunnn,30.0
interactivetech,30.0
Nihal987,1.0
JerryJack121,6.0
Shivali121327,2.0
rahuldshetty,30.0
reddy92rosh,0.0
BJohnBraddock,14.0
developer0hye,30.0
ssss1029,30.0
SonOfGod777,10.0
bigmb,30.0
swt-user,12.0
XuLongjia,30.0
cs19b025iittp,1.0
JoursBleu,23.0
yjh0410,30.0
aertist,30.0
DavideA,14.0
zym1119,19.0
tpbarron,14.0
shreyas-kowshik,30.0
clcarwin,30.0
moqi112358,30.0
MVIG-SJTU,0.0
OctopusLi,1.0
probtorch,0.0
leonoravesterbacka,2.0
hihiendru,13.0
zhengfangwu,30.0
plok5308,9.0
CheQiXiao,5.0
yaox12,30.0
mathamp,0.0
arleigh418,30.0
guilhermedrud,5.0
qq249356520,30.0
Awcrr,30.0
krishnan-meep,3.0
wzg16,2.0
long123524,30.0
hphp777,4.0
WildCatFish,6.0
kevincao91,8.0
dmkaner,13.0
siniphia,18.0
omerunlusoy,1.0
KaranjotSV,6.0
JoonyoungYi,30.0
makifozkanoglu,21.0
SunYW0108,30.0
alxfed,6.0
Mark-Sang,30.0
ShomyLiu,30.0
torch-points3d,0.0
danielzgsilva,3.0
faportillo,0.0
AEMARV,2.0
sovit-123,30.0
ceisenach,0.0
patugosavi,30.0
scottjiao,30.0
mightydeveloper,30.0
jingxu10,1.0
qq751220449,22.0
chrockey,30.0
BruceJust,30.0
claydeman,5.0
espectre,30.0
liulai,15.0
edwardning,6.0
RuiZhang-ICT,2.0
otenim,30.0
xhzhao,21.0
rskmoi,30.0
Ed-gong,1.0
BannyStone,30.0
martius-lab,0.0
GuilhemROLLAND,6.0
Beitadoge,30.0
spkywood,30.0
ShaoXiang23,30.0
NoyMoreno,0.0
davidtvs,30.0
Arseni1919,11.0
gdelacruzfdez,30.0
tori22,30.0
HuipengXu,30.0
Hui-Li,10.0
Wredter,2.0
moaz-elesawey,23.0
ROCmSoftwarePlatform,0.0
Jane-123,1.0
zonghaofan,30.0
TLampr,12.0
Wayne122,4.0
data-race,30.0
qwqw1314,2.0
alekseynp,8.0
tangruofeng,18.0
Ivanaluo,
Etc170322,10.0
wizard1203,30.0
Youngjae-Lee,0.0
yunbattle1994,6.0
JimpeiYamamoto,12.0
cyk1337,30.0
heathcliff233,30.0
dongyang2,5.0
wakandan,30.0
Abhipanda4,30.0
VisionSystemsInc,0.0
rasbt,30.0
Gezahiegn,0.0
cjearce,0.0
conebot,0.0
neuece,30.0
NSpil,9.0
itrusteyou,0.0
nslay,6.0
YueWenjun,30.0
cmFighting,30.0
Keiku,30.0
Rozi1,1.0
CestLucas,11.0
suolyer,30.0
percent4,30.0
FurkanYlmz97,1.0
ducminhkhoi,30.0
tomershay100,1.0
JihaoLee,
wangmengsd,30.0
HadasBabayov,0.0
LizzieTang,2.0
kenandaoerdect,30.0
undertherain,26.0
jaegpark,30.0
pedrob37,7.0
tulacik,0.0
jxm6165,11.0
michaelfedell,30.0
tachillon,3.0
LeifYaoYuXiang,30.0
xinzcode,30.0
dulayjm,30.0
AIFanatic,0.0
ymitiku,2.0
Smorodov,30.0
laubonghaudoi,30.0
2KangHo,30.0
JinFree,30.0
FredaWerdiger,0.0
huzi96,8.0
Codelegant92,30.0
rehohoho,12.0
zzsdsgdtc,0.0
IdanAzuri,30.0
minhna1112,30.0
krumo,30.0
Nebula4869,0.0
david990917,30.0
singularity014,2.0
hiepbkhn,30.0
w452144816,30.0
igeng,30.0
setyongr,30.0
ldeecke,6.0
v0lta,30.0
samggggflynn,30.0
GeniusAng,10.0
cfinlay,30.0
hkhpub,30.0
sihamdmostafa,30.0
reshow,30.0
hsuchengmath,30.0
jillnano,30.0
clvrai,0.0
Xiangyi1996,18.0
apsarath,3.0
mtliba,30.0
iskovskikh,0.0
JuheonYi,30.0
ethandrzb,2.0
vdecaro,12.0
tabularasa066a,8.0
KuoHaoZeng,30.0
nikcheerla,26.0
UncleThree0402,30.0
Yuagilvy,0.0
vujadeyoon,30.0
agrechnev,0.0
juntang-zhuang,30.0
jingjin25,30.0
zack-yu666,0.0
andrew-bydlon,0.0
CreeperLin,30.0
ahmedfadhil,6.0
harimaruthachalam,5.0
tszdanger,30.0
sobikaa,0.0
Nial4,30.0
branislav1991,10.0
yinizhizhu,30.0
AdarshK1,3.0
Xiangyu-CAS,30.0
bartonlin,1.0
kunjan-mhaske,10.0
DebeshJha,30.0
Dzautriet,19.0
FLyingLSJ,30.0
adaamm,30.0
imkuang,30.0
pengyuchen,30.0
EnzeXu,10.0
hamanhbui,0.0
haotian-liu,30.0
torchvideo,0.0
curtdissel,0.0
tedhuang96,30.0
rolambert,30.0
kan25d5,3.0
